_,__0_0_0_0
qawi,Q_18_0_0_0_0
qayamat,Q_12_2_0_0_0
qayamt,Q_12_2_0_0_0
qaymat,Q_12_2_0_0_0
qazi,Q_3_0_0_0_0
qbar,Q_9_14_0_0_0
qeemat,Q_12_2_0_0_0
qemat,Q_12_2_0_0_0
qila,Q_17_0_0_0_0
qilla,Q_17_0_0_0_0
qisa,Q_1_0_0_0_0
qisam,Q_1_12_0_0_0
qism,Q_1_12_0_0_0
qismat,Q_1_12_2_0_0
qissa,Q_1_0_0_0_0
qoam,Q_12_0_0_0_0
qoami,Q_12_0_0_0_0
qol,Q_17_0_0_0_0
qom,Q_12_0_0_0_0
qome,Q_12_0_0_0_0
qoom,Q_12_0_0_0_0
qoum,Q_12_0_0_0_0
qoutation,Q_2_2_11_0_0
qrar,Q_14_14_0_0_0
qsm,Q_1_12_0_0_0
quaid,Q_8_0_0_0_0
qualify,Q_17_15_0_0_0
quality,Q_17_2_0_0_0
quam,Q_12_0_0_0_0
queen,Q_11_0_0_0_0
question,Q_1_2_11_0_0
questions,Q_1_2_11_1_0
quetta,Q_2_0_0_0_0
quick,Q_1_7_0_0_0
quota,Q_2_0_0_0_0
quote,Q_2_0_0_0_0
quraan,Q_14_11_0_0_0
quran,Q_14_11_0_0_0
qurbaan,Q_14_9_11_0_0
qurban,Q_14_9_11_0_0
qurbani,Q_14_9_11_0_0
qureshi,Q_14_1_0_0_0
qyamat,Q_12_2_0_0_0
r,R_0_0_0_0
ra,R_0_0_0_0
raaey,R_0_0_0_0
raah,R_19_0_0_0_0
raaje,R_4_0_0_0_0
raam,R_12_0_0_0_0
raat,R_2_0_0_0_0
raatein,R_2_11_0_0_0
raato,R_2_0_0_0_0
raaz,R_3_0_0_0_0
raazi,R_3_0_0_0_0
rab,R_9_0_0_0_0
rabba,R_9_0_0_0_0
rabi,R_9_0_0_0_0
rabid,R_9_8_0_0_0
rabta,R_9_2_0_0_0
rabwah,R_9_18_19_0_0
race,R_1_0_0_0_0
rae,R_0_0_0_0
ragra,R_13_14_0_0_0
rah,R_19_0_0_0_0
raha,R_19_0_0_0_0
rahai,R_19_0_0_0_0
rahain,R_19_11_0_0_0
raham,R_19_12_0_0_0
rahay,R_19_0_0_0_0
rahe,R_19_0_0_0_0
rahee,R_19_0_0_0_0
rahega,R_19_13_0_0_0
rahegi,R_19_13_0_0_0
rahein,R_19_11_0_0_0
rahen,R_19_11_0_0_0
rahene,R_19_11_0_0_0
rahenge,R_19_11_13_0_0
rahengy,R_19_11_13_0_0
rahey,R_19_0_0_0_0
rahi,R_19_0_0_0_0
rahim,R_19_12_0_0_0
rahin,R_19_11_0_0_0
rahiye,R_19_0_0_0_0
rahko,R_19_7_0_0_0
rahman,R_19_12_11_0_0
rahna,R_19_11_0_0_0
rahnay,R_19_11_0_0_0
rahne,R_19_11_0_0_0
raho,R_19_0_0_0_0
rahoge,R_19_13_0_0_0
rahogy,R_19_13_0_0_0
rahoo,R_19_0_0_0_0
rahta,R_19_2_0_0_0
rahte,R_19_2_0_0_0
rahti,R_19_2_0_0_0
rahy,R_19_0_0_0_0
rahye,R_19_0_0_0_0
rahyn,R_19_11_0_0_0
rai,R_0_0_0_0
railway,R_17_18_0_0_0
rain,R_11_0_0_0_0
raj,R_4_0_0_0_0
rajasthan,R_4_1_22_11_0
rak,R_7_0_0_0_0
rakain,R_7_11_0_0_0
rakh,R_6_0_0_0_0
rakha,R_6_0_0_0_0
rakhain,R_6_11_0_0_0
rakhay,R_6_0_0_0_0
rakhe,R_6_0_0_0_0
rakhein,R_6_11_0_0_0
rakhen,R_6_11_0_0_0
rakhey,R_6_0_0_0_0
rakheye,R_6_0_0_0_0
rakhi,R_6_0_0_0_0
rakhiye,R_6_0_0_0_0
rakhlay,R_6_17_0_0_0
rakhna,R_6_11_0_0_0
rakhne,R_6_11_0_0_0
rakhni,R_6_11_0_0_0
rakhny,R_6_11_0_0_0
rakho,R_6_0_0_0_0
rakhta,R_6_2_0_0_0
rakhte,R_6_2_0_0_0
rakhti,R_6_2_0_0_0
rakhty,R_6_2_0_0_0
rakhu,R_6_0_0_0_0
rakhy,R_6_0_0_0_0
rakhye,R_6_0_0_0_0
rakka,R_7_0_0_0_0
rakty,R_7_2_0_0_0
rally,R_17_0_0_0_0
ram,R_12_0_0_0_0
ramadan,R_12_8_11_0_0
rameez,R_12_3_0_0_0
rana,R_11_0_0_0_0
randay,R_11_8_0_0_0
randdi,R_11_8_0_0_0
rande,R_11_8_0_0_0
randi,R_11_8_0_0_0
randian,R_11_8_11_0_0
randion,R_11_8_11_0_0
randiya,R_11_8_0_0_0
randiyan,R_11_8_11_0_0
randiyo,R_11_8_0_0_0
randiyon,R_11_8_11_0_0
randwe,R_11_8_18_0_0
rang,R_11_13_0_0_0
rao,R_0_0_0_0
rape,R_10_0_0_0_0
raqam,R_7_12_0_0_0
rasheed,R_1_8_0_0_0
rasi,R_1_0_0_0_0
rasool,R_1_17_0_0_0
rasoolallah,R_1_17_17_19_0
rasta,R_1_2_0_0_0
rastey,R_1_2_0_0_0
rasty,R_1_2_0_0_0
rat,R_2_0_0_0_0
ratain,R_2_11_0_0_0
rate,R_2_0_0_0_0
rather,R_22_14_0_0_0
ravi,RV_0_0_0_0
raw,R_18_0_0_0_0
rawan,R_18_11_0_0_0
ray,R_0_0_0_0
raye,R_0_0_0_0
raza,R_3_0_0_0_0
razi,R_3_0_0_0_0
re,R_0_0_0_0
reach,R_5_0_0_0_0
reaction,R_1_2_11_0_0
reading,R_8_11_13_0_0
ready,R_8_0_0_0_0
real,R_17_0_0_0_0
realise,R_17_1_0_0_0
realised,R_17_1_8_0_0
realize,R_17_3_0_0_0
realized,R_17_3_8_0_0
really,R_17_0_0_0_0
reason,R_1_11_0_0_0
received,R_1V_8_0_0
recently,R_1_11_2_17_0
recipe,R_1_10_0_0_0
record,R_1_14_8_0_0
redzone,R_8_3_11_0_0
refugee,R_15_13_0_0_0
regarding,R_13_14_8_11_13
register,R_13_1_2_14_0
registered,R_13_1_2_14_8
regular,R_13_17_14_0_0
reh,R_19_0_0_0_0
reha,R_19_0_0_0_0
rehain,R_19_11_0_0_0
reham,R_19_12_0_0_0
rehay,R_19_0_0_0_0
rehe,R_19_0_0_0_0
rehearsal,R_19_14_1_17_0
rehey,R_19_0_0_0_0
rehi,R_19_0_0_0_0
rehkar,R_19_7_14_0_0
rehm,R_19_12_0_0_0
rehman,R_19_12_11_0_0
rehmat,R_19_12_2_0_0
rehmtain,R_19_12_2_11_0
rehmten,R_19_12_2_11_0
rehn,R_19_11_0_0_0
rehna,R_19_11_0_0_0
rehnay,R_19_11_0_0_0
rehnda,R_19_11_8_0_0
rehne,R_19_11_0_0_0
rehny,R_19_11_0_0_0
rehta,R_19_2_0_0_0
rehtay,R_19_2_0_0_0
rehte,R_19_2_0_0_0
rehti,R_19_2_0_0_0
rehty,R_19_2_0_0_0
reject,R_4_1_2_0_0
rejected,R_4_1_2_8_0
rekh,R_6_0_0_0_0
rekha,R_6_0_0_0_0
related,R_17_2_8_0_0
relating,R_17_2_11_13_0
relation,R_17_2_11_0_0
relations,R_17_2_11_1_0
relationship,R_17_2_11_1_10
release,R_17_1_0_0_0
relevant,R_17V_11_2_0
relief,R_17_15_0_0_0
religion,R_17_13_11_0_0
religious,R_17_13_1_0_0
remain,R_12_11_0_0_0
reman,R_12_11_0_0_0
remember,R_12_12_9_14_0
remind,R_12_11_8_0_0
rendi,R_11_8_0_0_0
rent,R_11_2_0_0_0
rep,R_10_0_0_0_0
repeating,R_10_2_11_13_0
replies,R_10_17_1_0_0
reply,R_10_17_0_0_0
replying,R_10_17_11_13_0
report,R_10_14_2_0_0
reporter,R_10_14_2_14_0
reporting,R_10_14_2_11_13
represent,R_10_14_1_11_2
republic,R_10_9_17_1_0
request,R_7_1_2_0_0
required,R_7_14_8_0_0
rescue,R_1_1_0_0_0
research,R_1_14_5_0_0
reshmi,R_1_12_0_0_0
residence,R_1_8_11_1_0
respect,R_1_10_1_2_0
respected,R_1_10_1_2_8
respond,R_1_10_11_8_0
response,R_1_10_11_1_0
restaurant,R_1_2_14_11_2
restricted,R_1_2_14_1_2
result,R_1_17_2_0_0
ret,R_2_0_0_0_0
retired,R_2_14_8_0_0
return,R_2_14_11_0_0
returns,R_2_14_11_1_0
revolution,RV_17_2_11_0
revolving,RV_17V_11_13
rey,R_0_0_0_0
rh,R_19_0_0_0_0
rha,R_19_0_0_0_0
rhain,R_19_11_0_0_0
rhakna,R_19_7_11_0_0
rhana,R_19_11_0_0_0
rhay,R_19_0_0_0_0
rhe,R_19_0_0_0_0
rhein,R_19_11_0_0_0
rhen,R_19_11_0_0_0
rhene,R_19_11_0_0_0
rheta,R_19_2_0_0_0
rhey,R_19_0_0_0_0
rhi,R_19_0_0_0_0
rhm,R_19_12_0_0_0
rhn,R_19_11_0_0_0
rhna,R_19_11_0_0_0
rhne,R_19_11_0_0_0
rho,R_19_0_0_0_0
rhoo,R_19_0_0_0_0
rhta,R_19_2_0_0_0
rhti,R_19_2_0_0_0
rhty,R_19_2_0_0_0
rhu,R_19_0_0_0_0
rhy,R_19_0_0_0_0
ri,R_0_0_0_0
riasat,R_1_2_0_0_0
rich,R_5_0_0_0_0
ridiculous,R_8_1_17_1_0
right,R_26_2_0_0_0
riha,R_19_0_0_0_0
riksha,R_7_1_0_0_0
risalat,R_1_17_2_0_0
rishta,R_1_2_0_0_0
rishtay,R_1_2_0_0_0
rishte,R_1_2_0_0_0
rishtey,R_1_2_0_0_0
rishto,R_1_2_0_0_0
rishton,R_1_2_11_0_0
rishty,R_1_2_0_0_0
rishwat,R_1_18_2_0_0
rista,R_1_2_0_0_0
rivayat,RV_2_0_0_0
riwayat,R_18_2_0_0_0
riya,R_0_0_0_0
riyasat,R_1_2_0_0_0
rizwan,R_3_18_11_0_0
rkh,R_6_0_0_0_0
rkha,R_6_0_0_0_0
rkhain,R_6_11_0_0_0
rkhe,R_6_0_0_0_0
rkhen,R_6_11_0_0_0
rkhi,R_6_0_0_0_0
rkhna,R_6_11_0_0_0
rkhne,R_6_11_0_0_0
rkhni,R_6_11_0_0_0
rkhny,R_6_11_0_0_0
rkho,R_6_0_0_0_0
rkhta,R_6_2_0_0_0
rkhy,R_6_0_0_0_0
rndi,R_11_8_0_0_0
ro,R_0_0_0_0
roaz,R_3_0_0_0_0
rocket,R_1_7_2_0_0
rod,R_8_0_0_0_0
roh,R_19_0_0_0_0
rohani,R_19_11_0_0_0
rok,R_7_0_0_0_0
roknay,R_7_11_0_0_0
rokne,R_7_11_0_0_0
rokny,R_7_11_0_0_0
rokty,R_7_2_0_0_0
roky,R_7_0_0_0_0
rola,R_17_0_0_0_0
romeo,R_12_0_0_0_0
rona,R_11_0_0_0_0
ronak,R_11_7_0_0_0
ronaldo,R_11_17_8_0_0
ronaq,R_11_7_0_0_0
ronay,R_11_0_0_0_0
rone,R_11_0_0_0_0
roney,R_11_0_0_0_0
rony,R_11_0_0_0_0
roo,R_0_0_0_0
rooh,R_19_0_0_0_0
room,R_12_0_0_0_0
roona,R_11_0_0_0_0
roots,R_2_1_0_0_0
rooz,R_3_0_0_0_0
ropy,R_10_0_0_0_0
roshni,R_1_11_0_0_0
rotay,R_2_0_0_0_0
rote,R_2_0_0_0_0
rotey,R_2_0_0_0_0
roti,R_2_0_0_0_0
roty,R_2_0_0_0_0
rouk,R_7_0_0_0_0
routine,R_2_11_0_0_0
roy,R_0_0_0_0
roya,R_0_0_0_0
royal,R_17_0_0_0_0
roye,R_0_0_0_0
royenge,R_11_13_0_0_0
roz,R_3_0_0_0_0
rozi,R_3_0_0_0_0
rr,R_0_0_0_0
rss,R_1_0_0_0_0
rt,R_2_0_0_0_0
rti,R_2_0_0_0_0
ru,R_0_0_0_0
rub,R_9_0_0_0_0
rubber,R_9_14_0_0_0
ruk,R_7_0_0_0_0
rukein,R_7_11_0_0_0
rul,R_17_0_0_0_0
rula,R_17_0_0_0_0
rulana,R_17_11_0_0_0
rules,R_17_1_0_0_0
run,R_11_0_0_0_0
rundi,R_11_8_0_0_0
rupay,R_10_0_0_0_0
rupaye,R_10_0_0_0_0
rupe,R_10_0_0_0_0
rupee,R_10_0_0_0_0
rupees,R_10_1_0_0_0
rupiya,R_10_0_0_0_0
rupy,R_10_0_0_0_0
rupya,R_10_0_0_0_0
rupye,R_10_0_0_0_0
russia,R_1_0_0_0_0
rutha,R_22_0_0_0_0
ry,R_0_0_0_0
ryt,R_2_0_0_0_0
rz,R_3_0_0_0_0
rza,R_3_0_0_0_0
sa,S_0_0_0_0
saa,S_0_0_0_0
saaalaaa,S_17_0_0_0_0
saab,S_9_0_0_0_0
saade,S_8_0_0_0_0
saaf,S_15_0_0_0_0
saag,S_13_0_0_0_0
saal,S_17_0_0_0_0
saala,S_17_0_0_0_0
saalay,S_17_0_0_0_0
saale,S_17_0_0_0_0
saaley,S_17_0_0_0_0
saali,S_17_0_0_0_0
saalo,S_17_0_0_0_0
saalon,S_17_11_0_0_0
saaly,S_17_0_0_0_0
saamne,S_12_11_0_0_0
saani,S_11_0_0_0_0
saanp,S_11_10_0_0_0
saans,S_11_1_0_0_0
saara,S_14_0_0_0_0
saaray,S_14_0_0_0_0
saare,S_14_0_0_0_0
saari,S_14_0_0_0_0
saary,S_14_0_0_0_0
saas,S_1_0_0_0_0
saath,S_22_0_0_0_0
saaya,S_0_0_0_0
saazish,S_3_1_0_0_0
sab,S_9_0_0_0_0
saba,S_9_0_0_0_0
sabab,S_9_9_0_0_0
sabah,S_20_0_0_0_0
sabaq,S_9_7_0_0_0
sabar,S_9_14_0_0_0
sabat,S_9_2_0_0_0
sabb,S_9_0_0_0_0
sabhi,S_20_0_0_0_0
sabir,S_9_14_0_0_0
sabit,S_9_2_0_0_0
sabka,S_9_7_0_0_0
sabke,S_9_7_0_0_0
sabko,S_9_7_0_0_0
sabne,S_9_11_0_0_0
saboot,S_9_2_0_0_0
sabot,S_9_2_0_0_0
sabq,S_9_7_0_0_0
sabr,S_9_14_0_0_0
sabse,S_9_1_0_0_0
sabt,S_9_2_0_0_0
sabzi,S_9_3_0_0_0
sacchai,S_1_5_0_0_0
sach,S_5_0_0_0_0
sacha,S_5_0_0_0_0
sachai,S_5_0_0_0_0
sachay,S_5_0_0_0_0
sachcha,S_5_0_0_0_0
sachchai,S_5_0_0_0_0
sachi,S_5_0_0_0_0
sad,S_8_0_0_0_0
sada,S_8_0_0_0_0
sadam,S_8_12_0_0_0
sadar,S_8_14_0_0_0
saday,S_8_0_0_0_0
sadda,S_8_0_0_0_0
saddam,S_8_12_0_0_0
sadgi,S_8_13_0_0_0
sadiq,S_8_7_0_0_0
sadiyon,S_8_11_0_0_0
sadka,S_8_7_0_0_0
sadkay,S_8_7_0_0_0
sadke,S_8_7_0_0_0
sadma,S_8_12_0_0_0
sae,S_0_0_0_0
saeed,S_8_0_0_0_0
saf,S_15_0_0_0_0
safaai,S_15_0_0_0_0
safai,S_15_0_0_0_0
safaid,S_15_8_0_0_0
safar,S_15_14_0_0_0
safe,S_15_0_0_0_0
safi,S_15_0_0_0_0
sahab,S_19_9_0_0_0
sahaba,S_19_9_0_0_0
sahabi,S_19_9_0_0_0
sahafi,S_19_15_0_0_0
sahar,S_19_14_0_0_0
sahara,S_19_14_0_0_0
sahb,S_19_9_0_0_0
sahe,S_19_0_0_0_0
saheb,S_19_9_0_0_0
sahee,S_19_0_0_0_0
sahet,S_19_2_0_0_0
sahi,S_19_0_0_0_0
sahib,S_19_9_0_0_0
sahiba,S_19_9_0_0_0
sahih,S_19_19_0_0_0
saholat,S_19_17_2_0_0
sahoolat,S_19_17_2_0_0
sahulat,S_19_17_2_0_0
sai,S_0_0_0_0
said,S_8_0_0_0_0
saja,S_4_0_0_0_0
sajao,S_4_0_0_0_0
sajda,S_4_8_0_0_0
sajjad,S_4_8_0_0_0
sajji,S_4_0_0_0_0
sajna,S_4_11_0_0_0
saka,S_7_0_0_0_0
sakain,S_7_11_0_0_0
sakay,S_7_0_0_0_0
sake,S_7_0_0_0_0
sakh,S_6_0_0_0_0
sakhi,S_6_0_0_0_0
sakht,S_6_2_0_0_0
sakhti,S_6_2_0_0_0
sakhy,S_6_0_0_0_0
saki,S_7_0_0_0_0
sakn,S_7_11_0_0_0
sako,S_7_0_0_0_0
sakon,S_7_11_0_0_0
sakoon,S_7_11_0_0_0
sakta,S_7_2_0_0_0
saktay,S_7_2_0_0_0
sakte,S_7_2_0_0_0
sakten,S_7_2_11_0_0
saktey,S_7_2_0_0_0
sakti,S_7_2_0_0_0
sakty,S_7_2_0_0_0
saky,S_7_0_0_0_0
sal,S_17_0_0_0_0
sala,S_17_0_0_0_0
salaam,S_17_12_0_0_0
salaamat,S_17_12_2_0_0
salah,S_17_19_0_0_0
salam,S_17_12_0_0_0
salana,S_17_11_0_0_0
salary,S_17_14_0_0_0
salay,S_17_0_0_0_0
sale,S_17_0_0_0_0
salee,S_17_0_0_0_0
saleeka,S_17_7_0_0_0
saleem,S_17_12_0_0_0
salem,S_17_12_0_0_0
saley,S_17_0_0_0_0
sali,S_17_0_0_0_0
salla,S_17_0_0_0_0
salle,S_17_0_0_0_0
salman,S_17_12_11_0_0
salo,S_17_0_0_0_0
salogan,S_17_13_11_0_0
salon,S_17_11_0_0_0
salook,S_17_7_0_0_0
salute,S_17_2_0_0_0
saly,S_17_0_0_0_0
sama,S_12_0_0_0_0
samait,S_12_2_0_0_0
samaj,S_12_4_0_0_0
samajh,S_12_23_0_0_0
samajhdaar,S_12_23_8_14_0
samajhdaari,S_12_23_8_14_0
samajhna,S_12_23_11_0_0
samajhta,S_12_23_2_0_0
samajhtay,S_12_23_2_0_0
samajhte,S_12_23_2_0_0
samajhtey,S_12_23_2_0_0
samajhti,S_12_23_2_0_0
samajta,S_12_4_2_0_0
samajte,S_12_4_2_0_0
samal,S_12_17_0_0_0
saman,S_12_11_0_0_0
sambandh,S_12_9_11_24_0
sambhal,S_12_20_17_0_0
same,S_12_0_0_0_0
sameera,S_12_14_0_0_0
samg,S_12_13_0_0_0
samghe,S_12_26_0_0_0
samj,S_12_4_0_0_0
samjao,S_12_4_0_0_0
samjaya,S_12_4_0_0_0
samjh,S_12_23_0_0_0
samjha,S_12_23_0_0_0
samjhai,S_12_23_0_0_0
samjhane,S_12_23_11_0_0
samjhao,S_12_23_0_0_0
samjhaye,S_12_23_0_0_0
samjhe,S_12_23_0_0_0
samjhega,S_12_23_13_0_0
samjhi,S_12_23_0_0_0
samjho,S_12_23_0_0_0
samjhta,S_12_23_2_0_0
samjhte,S_12_23_2_0_0
samjhti,S_12_23_2_0_0
samjhy,S_12_23_0_0_0
samjo,S_12_4_0_0_0
samjta,S_12_4_2_0_0
samjti,S_12_4_2_0_0
samna,S_12_11_0_0_0
samnay,S_12_11_0_0_0
samne,S_12_11_0_0_0
samney,S_12_11_0_0_0
samny,S_12_11_0_0_0
samosa,S_12_1_0_0_0
sana,S_11_0_0_0_0
sanam,S_11_12_0_0_0
sanaullah,S_11_17_19_0_0
sand,S_11_8_0_0_0
sania,S_11_0_0_0_0
sanp,S_11_10_0_0_0
sansain,S_11_1_11_0_0
sansar,S_11_1_14_0_0
sansoo,S_11_1_0_0_0
santa,S_11_2_0_0_0
sanum,S_11_12_0_0_0
sapne,S_10_11_0_0_0
saqib,S_7_9_0_0_0
sar,S_14_0_0_0_0
sara,S_14_0_0_0_0
saray,S_14_0_0_0_0
sardar,S_14_8_14_0_0
sardi,S_14_8_0_0_0
sardii,S_14_8_0_0_0
sare,S_14_0_0_0_0
saree,S_14_0_0_0_0
sarey,S_14_0_0_0_0
sarfaraz,S_14_15_14_3_0
sari,S_14_0_0_0_0
saria,S_14_0_0_0_0
sarkaar,S_14_7_14_0_0
sarkar,S_14_7_14_0_0
sarkari,S_14_7_14_0_0
sarkon,S_14_7_11_0_0
sarmad,S_14_12_8_0_0
sarrak,S_14_7_0_0_0
sary,S_14_0_0_0_0
sarya,S_14_0_0_0_0
sass,S_1_0_0_0_0
sassti,S_1_2_0_0_0
sasta,S_1_2_0_0_0
sastay,S_1_2_0_0_0
sasti,S_1_2_0_0_0
sasty,S_1_2_0_0_0
sat,S_2_0_0_0_0
sataye,S_2_0_0_0_0
sath,S_22_0_0_0_0
sathi,S_22_0_0_0_0
sati,S_2_0_0_0_0
satisfaction,S_2_1_15_1_2
satisfy,S_2_1_15_0_0
satiya,S_2_0_0_0_0
saunf,S_11_15_0_0_0
save,SV_0_0_0_0
saved,SV_8_0_0_0
saw,S_18_0_0_0_0
sawa,S_18_0_0_0_0
sawaal,S_18_17_0_0_0
sawaar,S_18_14_0_0_0
sawab,S_18_9_0_0_0
sawal,S_18_17_0_0_0
sawalo,S_18_17_0_0_0
sawar,S_18_14_0_0_0
sawere,S_18_14_0_0_0
saww,S_18_0_0_0_0
say,S_0_0_0_0
saya,S_0_0_0_0
sayad,S_8_0_0_0_0
saying,S_11_13_0_0_0
says,S_1_0_0_0_0
saza,S_3_0_0_0_0
sazish,S_3_1_0_0_0
sb,S_9_0_0_0_0
sbha,S_20_0_0_0_0
sbhi,S_20_0_0_0_0
sbi,S_9_0_0_0_0
sbko,S_9_7_0_0_0
sbr,S_9_14_0_0_0
sbse,S_9_1_0_0_0
sc,S_1_0_0_0_0
scene,S_1_11_0_0_0
sch,S_5_0_0_0_0
schedule,S_5_8_17_0_0
scheme,S_5_12_0_0_0
schi,S_5_0_0_0_0
scholar,S_5_17_14_0_0
scholars,S_5_17_14_1_0
school,S_5_17_0_0_0
science,S_1_11_1_0_0
scientist,S_1_11_2_1_2
scream,S_1_14_12_0_0
screen,S_1_14_11_0_0
script,S_1_14_10_2_0
scum,S_1_12_0_0_0
sd,S_8_0_0_0_0
se,S_0_0_0_0
search,S_14_5_0_0_0
searching,S_14_5_11_13_0
season,S_1_11_0_0_0
seats,S_2_1_0_0_0
sec,S_1_0_0_0_0
second,S_1_11_8_0_0
secret,S_1_14_2_0_0
sect,S_1_2_0_0_0
section,S_1_2_11_0_0
sector,S_1_2_14_0_0
sedha,S_24_0_0_0_0
sedhi,S_24_0_0_0_0
see,S_0_0_0_0
seede,S_8_0_0_0_0
seedha,S_24_0_0_0_0
seedhi,S_24_0_0_0_0
seekh,S_6_0_0_0_0
seekha,S_6_0_0_0_0
seekhne,S_6_11_0_0_0
seekhni,S_6_11_0_0_0
seekho,S_6_0_0_0_0
seems,S_12_1_0_0_0
seen,S_11_0_0_0_0
seerat,S_14_2_0_0_0
sehat,S_19_2_0_0_0
seher,S_19_14_0_0_0
sehet,S_19_2_0_0_0
sehna,S_19_11_0_0_0
seht,S_19_2_0_0_0
sehti,S_19_2_0_0_0
sehty,S_19_2_0_0_0
seikh,S_6_0_0_0_0
sekh,S_6_0_0_0_0
sekha,S_6_0_0_0_0
sekhaya,S_6_0_0_0_0
sekhein,S_6_11_0_0_0
selaab,S_17_9_0_0_0
select,S_17_1_2_0_0
selected,S_17_1_2_8_0
selection,S_17_1_2_11_0
selective,S_17_1_2V_0
self,S_17_15_0_0_0
selfish,S_17_15_1_0_0
selling,S_17_11_13_0_0
sem,S_12_0_0_0_0
seminar,S_12_11_14_0_0
sena,S_11_0_0_0_0
send,S_11_8_0_0_0
sene,S_11_0_0_0_0
senior,S_11_14_0_0_0
sent,S_11_2_0_0_0
sentence,S_11_2_11_1_0
sentiment,S_11_2_12_11_2
september,S_10_2_12_9_14
ser,S_14_0_0_0_0
serch,S_14_5_0_0_0
serf,S_14_15_0_0_0
series,S_14_1_0_0_0
serious,S_14_1_0_0_0
seriously,S_14_1_17_0_0
service,S_14V_1_0_0
services,S_14V_1_1_0
session,S_1_11_0_0_0
setting,S_2_11_13_0_0
settings,S_2_11_13_1_0
severe,SV_14_0_0_0
sex,S_3_0_0_0_0
sey,S_0_0_0_0
seya,S_0_0_0_0
seyasat,S_1_2_0_0_0
sha,S_19_0_0_0_0
shaa,S_19_0_0_0_0
shaadi,S_19_8_0_0_0
shaam,S_19_12_0_0_0
shaamil,S_19_12_17_0_0
shaan,S_19_11_0_0_0
shaant,S_19_11_2_0_0
shaayad,S_19_8_0_0_0
shab,S_19_9_0_0_0
shabash,S_19_9_1_0_0
shabb,S_19_9_0_0_0
shabnam,S_19_9_11_12_0
shad,S_19_8_0_0_0
shadab,S_19_8_9_0_0
shaddi,S_19_8_0_0_0
shadeed,S_19_8_8_0_0
shadi,S_19_8_0_0_0
shadia,S_19_8_0_0_0
shadian,S_19_8_11_0_0
shadiya,S_19_8_0_0_0
shah,S_19_19_0_0_0
shahbaz,S_19_19_9_3_0
shaheed,S_19_19_8_0_0
shaheen,S_19_19_11_0_0
shaher,S_19_19_14_0_0
shahid,S_19_19_8_0_0
shahrukh,S_19_19_14_6_0
shahzeb,S_19_19_3_9_0
shai,S_19_0_0_0_0
shaid,S_19_8_0_0_0
shaikh,S_19_6_0_0_0
shair,S_19_14_0_0_0
shairni,S_19_14_11_0_0
shaitaan,S_19_2_11_0_0
shaitan,S_19_2_11_0_0
shak,S_19_7_0_0_0
shakal,S_19_7_17_0_0
shakh,S_19_6_0_0_0
shakhs,S_19_6_1_0_0
shakir,S_19_7_14_0_0
shakl,S_19_7_17_0_0
shakti,S_19_7_2_0_0
shalwar,S_19_17_18_14_0
sham,S_19_12_0_0_0
shamat,S_19_12_2_0_0
shami,S_19_12_0_0_0
shamil,S_19_12_17_0_0
shamo,S_19_12_0_0_0
shan,S_19_11_0_0_0
shant,S_19_11_2_0_0
shanti,S_19_11_2_0_0
shaq,S_19_7_0_0_0
sharab,S_19_14_9_0_0
sharaba,S_19_14_9_0_0
sharabi,S_19_14_9_0_0
sharafat,S_19_14_15_2_0
sharam,S_19_14_12_0_0
shararti,S_19_14_14_2_0
share,S_19_14_0_0_0
shareef,S_19_14_15_0_0
shareek,S_19_14_7_0_0
shari,S_19_14_0_0_0
shariat,S_19_14_2_0_0
sharif,S_19_14_15_0_0
shariyat,S_19_14_2_0_0
sharjeel,S_19_14_4_17_0
sharm,S_19_14_12_0_0
sharma,S_19_14_12_0_0
sharminda,S_19_14_12_11_8
shart,S_19_14_2_0_0
sharukh,S_19_14_6_0_0
shat,S_19_2_0_0_0
shaukat,S_19_7_2_0_0
shauq,S_19_7_0_0_0
shayad,S_19_8_0_0_0
shayar,S_19_14_0_0_0
shayd,S_19_8_0_0_0
shayed,S_19_8_0_0_0
shayri,S_19_14_0_0_0
shazaib,S_19_3_9_0_0
shb,S_19_9_0_0_0
she,S_19_0_0_0_0
sheeray,S_19_14_0_0_0
sheeshi,S_19_1_0_0_0
sheh,S_19_19_0_0_0
shehar,S_19_19_14_0_0
shehbaz,S_19_19_9_3_0
shehd,S_19_19_8_0_0
sheher,S_19_19_14_0_0
shehr,S_19_19_14_0_0
shehzado,S_19_19_3_8_0
sheikh,S_19_6_0_0_0
sheikhoo,S_19_6_0_0_0
shell,S_19_17_0_0_0
sher,S_19_14_0_0_0
shera,S_19_14_0_0_0
sheram,S_19_14_12_0_0
sherkat,S_19_14_7_2_0
shero,S_19_14_0_0_0
sheron,S_19_14_11_0_0
shet,S_19_2_0_0_0
shetaan,S_19_2_11_0_0
shetan,S_19_2_11_0_0
shi,S_19_0_0_0_0
shift,S_19_15_2_0_0
shikaar,S_19_7_14_0_0
shikar,S_19_7_14_0_0
shikast,S_19_7_1_2_0
shikayet,S_19_7_2_0_0
shikh,S_19_6_0_0_0
shikway,S_19_7_18_0_0
shine,S_19_11_0_0_0
shirk,S_19_14_7_0_0
shirt,S_19_14_2_0_0
shit,S_19_2_0_0_0
shittt,S_19_2_0_0_0
shkal,S_19_7_17_0_0
shkl,S_19_7_17_0_0
shkr,S_19_7_14_0_0
shocking,S_19_1_7_11_13
